name,series_id,serial_number,rarity
Chitoge in Youth Days,7,NK/W30-014,C
"Seishirou, Change of Heart",7,NK/W30-015,C
"Chitoge, Transfer Student",7,NK/W30-016,C
"Chitoge, First Date",7,NK/W30-017,C
Heroines in Love,7,NK/W30-018,C
Seishirou Tsugumi,7,NK/W30-019,C
"Chitoge, Lovers!?",7,NK/W30-020,C
Claude,7,NK/W30-021,C
"Seishirou, Not Being True to Self",7,NK/W30-038,C
Seishirou in Youth Days,7,NK/W30-039,C
Kosaki in Yukata,7,NK/W30-040,C
Seishirou in Yukata,7,NK/W30-041,C
"Raku, Kind And Thoughtful",7,NK/W30-042,C
"Kosaki, Gentle Smile",7,NK/W30-043,C
"Seishirou, Shocking Truth",7,NK/W30-044,C
"Kosaki, Emotion Overloading",7,NK/W30-045,C
Marika in Yukata,7,NK/W30-063,C
"Marika, Throwing A Tantrum",7,NK/W30-064,C
"Marika, Long-Awaited Reunion",7,NK/W30-065,C
"Raku, Acting Like Lover",7,NK/W30-066,C
"Marika, Transfer Student",7,NK/W30-067,C
Chitoge as Ghost,7,NK/W30-068,C
"Chitoge, Not Understanding What Happened",7,NK/W30-069,C
"Marika, Raku's Fiancee",7,NK/W30-070,C
"Kosaki, Kind Look From the Side",7,NK/W30-089,C
"Shuu, Frivolous",7,NK/W30-090,C
"Kosaki, At the Secret Place",7,NK/W30-091,C
"Kosaki, Denying",7,NK/W30-092,C
"Raku, Love Triangle?",7,NK/W30-093,C
Ruri in Swimsuits,7,NK/W30-094,C
"Kosaki, Mild Personality",7,NK/W30-095,C
Marika Tachibana,7,NK/W30-096,C
Fictitious Love,7,NK/W30-024,CC
Hairpin,7,NK/W30-025,CC
"""Closed Space""",7,NK/W30-049,CC
Juliet Just for You,7,NK/W30-050,CC
Ad Lib,7,NK/W30-074,CC
Juliet in Love,7,NK/W30-075,CC
Promise of a Day Long Gone,7,NK/W30-099,CC
Exchanged Promise,7,NK/W30-100,CC
Diary,7,NK/W30-023,CR
Large Back,7,NK/W30-048,CR
Feelings of 10 Years,7,NK/W30-073,CR
I...... Lied......,7,NK/W30-098,CR
"Chitoge, Horrible at Love",7,NK/W30-003,R
"Seishirou, Dramatically Changed Looks!?",7,NK/W30-004,R
"Chitoge, Weekend Date",7,NK/W30-005,R
Seishirou in Swimsuits,7,NK/W30-006,R
"Chitoge, After A Bath",7,NK/W30-007,R
"Seishirou, Studying about Love",7,NK/W30-028,R
"Seishirou, Girls' Uniform",7,NK/W30-029,R
Kosaki in Swimsuits,7,NK/W30-030,R
"Kosaki, Exceptional Smile",7,NK/W30-031,R
"Seishirou, Date Feeling",7,NK/W30-032,R
"Chitoge, Surprising Side",7,NK/W30-053,R
"Marika, Active Girl",7,NK/W30-054,R
Chitoge as Juliet,7,NK/W30-055,R
"Marika, Loving Carnage",7,NK/W30-056,R
"Marika, Daughter of the Police Chief",7,NK/W30-057,R
Marika in Swimsuits,7,NK/W30-078,R
"Marika, Straightforward Feelings",7,NK/W30-079,R
"Kosaki, First Visit",7,NK/W30-080,R
"Kosaki, Angel in White Clothing",7,NK/W30-081,R
"Ruri, Girl With Glasses",7,NK/W30-082,R
"Seishirou, First Time Feeling",7,NK/W30-001,RR
"Chitoge, Maiden's Heart",7,NK/W30-002,RR
"Seishirou, Maiden's Heart",7,NK/W30-026,RR
"Kosaki, After School Date",7,NK/W30-027,RR
"Chitoge, Deepened Friendship",7,NK/W30-051,RR
"Marika, Maiden's Heart",7,NK/W30-052,RR
"Kosaki, Maiden's Heart",7,NK/W30-076,RR
"Marika, Fierce Attack",7,NK/W30-077,RR
Raku Ichijou,7,NK/W30-T01,TD
"Chitoge, Transfer Student",7,NK/W30-T02,TD
"Chitoge, First Date",7,NK/W30-T03,TD
Seishirou Tsugumi,7,NK/W30-T04,TD
"Chitoge, Lovers!?",7,NK/W30-T05,TD
"Chitoge, Love Triangle?",7,NK/W30-T06,TD
Chitoge Kirisaki,7,NK/W30-T07,TD
Pendant of Promise,7,NK/W30-T08,TD
Fictitious Love,7,NK/W30-T09,TD
"Kosaki, Kind Look From the Side",7,NK/W30-T10,TD
Ruri Miyamoto,7,NK/W30-T11,TD
Kosaki in Denail,7,NK/W30-T12,TD
"Kosaki, Love Triangle?",7,NK/W30-T13,TD
"Raku, Love Triangle?",7,NK/W30-T14,TD
"Kosaki, Tilting Head",7,NK/W30-T15,TD
Kosaki Onodera,7,NK/W30-T16,TD
Marika Tachibana,7,NK/W30-T17,TD
Promise of a Day Long Gone,7,NK/W30-T18,TD
No Way...... It......,7,NK/W30-T19,TD
Raku Ichijou,7,NK/W30-008,U
Chitoge in Yukata,7,NK/W30-009,U
"Seishirou, Heart-Thumping",7,NK/W30-010,U
Chitoge in Swimsuits,7,NK/W30-011,U
"Chitoge, Good at Every Sport",7,NK/W30-012,U
"Raku, Wonderful Darling!?",7,NK/W30-013,U
Pendant of Promise,7,NK/W30-022,U
"Kosaki, Store's Mascot Girl",7,NK/W30-033,U
"Seishirou, Transfer Student",7,NK/W30-034,U
"Kosaki, Fateful Draw of Lots",7,NK/W30-035,U
"Seishirou, Talented Hitman",7,NK/W30-036,U
