193278,1,2,生徒会 (Student Council)
193279,1,1,死 (Death)
193280,1,3,None
193281,1,4,Character
193282,1,5,Yellow
193283,1,6,"\b \b \b \b \b \b \b \b [C] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 All your other <<Death>> Characters gain ""\b \b \b \b \b \b \b \b [A] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b ENCORE \b0 [Discard a Character card from hand to the Waiting Room]"".\line\b \b \b \b \b \b \b \b [S] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 [Rest this] Choose 1 of your Characters. That Character gains +1000 Power for the rest of this turn."
193284,1,7,0
193285,1,8,1
193286,1,9,1
193287,1,10,3500
193288,2,2,生徒会 (Student Council)
193289,2,1,死 (Death)
193290,2,3,Soul
193291,2,4,Character
193292,2,5,Yellow
193293,2,6,"\b \b \b \b \b \b \b \b [A] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 When this is placed from hand to the Stage, you may put the top card of your Clock in your Waiting Room.\line\b \b \b \b \b \b \b \b [A] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 When the Battle Opponent of this becomes Reversed, you may send it to Memory."
193294,2,7,2
193295,2,8,2
193296,2,9,3
193297,2,10,10000
193298,3,2,音楽 (Music)
193299,3,1,死 (Death)
193300,3,3,None
193301,3,4,Character
193302,3,5,Yellow
193303,3,6,\b \b \b \b \b \b \b \b [C] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b SUPPORT \b0 All your Characters in front of this gain +500 Power.\line\b \b \b \b \b \b \b \b [S] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 [(1) Rest 1 of your other <<Music>> Characters] Choose 1 of your <<Music>> Characters. That Character gains +1 Soul for the rest of this turn.
193304,3,7,0
193305,3,8,1
193306,3,9,0
193307,3,10,500
193308,4,2,生徒会 (Student Council)
193309,4,1,死 (Death)
193310,4,3,None
193311,4,4,Character
193312,4,5,Yellow
193313,4,6,"\b \b \b \b \b \b \b \b [C] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 During your turn, this gains +500 Power for every other <<Death>> Character you have."
193314,4,7,0
193315,4,8,1
193316,4,9,0
193317,4,10,2500
193318,5,2,生徒会 (Student Council)
193319,5,1,死 (Death)
193320,5,3,Soul
193321,5,4,Character
193322,5,5,Yellow
193323,5,6,"\b \b \b \b \b \b \b \b [A] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 [(2)] When ""Power to Protect"" is placed to your Climax Zone, if this is in the Front Row, you may pay cost. If so, search your Deck for up to 2 ""Kanade, Reason for Fighting"" and put them in separate Slots in the Front Row. Shuffle your Deck.\line\b \b \b \b \b \b \b \b [A] \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b0 \b ENCORE \b0 [Discard a Character card from hand to the Waiting Room]"
193324,5,7,1
193325,5,8,1
193326,5,9,1
193327,5,10,5000
